region,category,pair_id,app_name,apk_path,sha256,package,version_code,version_name,min_sdk,target_sdk,max_sdk,perm_count_local,activities_local,services_local,receivers_local,providers_local,exported_act_true,exported_srv_true,exported_rcv_true,exported_prv_true,is_debuggable,vt_last_analysis_date,vt_malicious,vt_suspicious,vt_harmless,vt_undetected,vt_perm_count,vt_dangerous_perm_count
eu,ecom_4,ecom4,Vinted,data/eu/fr.vinted__vc260401__CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8.apk,CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8,fr.vinted,260401,26.4.1,24,36,,29,83,18,23,13,12,2,6,1,,2026-02-04T17:10:32Z,0,0,0,63,29,8
ru,bank_1,bank1,Sberbank,data/ru/SberbankOnline_last_vers.apk,25689DB366425428AB6C683D1ABE2FC7A9DA2C5DE5132F23F1A194619B5AA141,ru.sberbankmobile,2025122914,17.1.0,26,35,,68,1058,42,31,27,17,10,9,3,,2026-02-05T15:56:08Z,0,0,0,52,68,19
eu,bank_1,bank1,BGL,data/eu/lu.bgl.spm.retail__vc458__E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66.apk,E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.retail,458,3.41.0,28,35,,22,47,11,13,3,6,1,3,0,,2026-02-04T17:07:17Z,0,0,0,61,,
ru,bank_2,bank2,Tinkoff,data/ru/tbank_app.apk,AEB8DD6E08F45707C0250F88B340D52A5DAB11D818C9BDD87DB4D64ACDB69DA5,com.idamob.tinkoff.android,11883,7.27.0,28,35,,75,1191,28,42,26,34,9,16,4,,2026-02-04T16:55:25Z,0,0,0,42,75,23
eu,bank_2,bank2,ING Luxembourg,data/eu/com.ing.lu.mobile__vc82__C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B.apk,C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B,com.ing.lu.mobile,82,5.2.0,30,34,,11,5,6,3,3,2,0,2,0,,2025-03-06T07:46:50Z,0,0,0,62,11,3
ru,bank_3,bank3,Alfa Bank,data/ru/AlfaBank_ABM_last_v.apk,EE840CCCB173415F19C6C05F77D90483507F5FA6E523452C6347DBFA68CAA106,ru.alfabank.oavdo.amc,2618000,15.15.0,28,35,,46,139,21,21,13,6,4,7,2,,2026-01-16T13:34:10Z,0,0,0,44,46,13
eu,bank_3,bank3,Revolut,data/eu/com.revolut.revolut__vc1011409134__4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D.apk,4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,com.revolut.revolut,1011409134,10.114.2,28,36,,50,383,39,22,12,10,5,4,0,,2026-02-04T16:54:17Z,0,0,0,62,50,14
ru,bank_4,bank4,VTB,data/ru/VTB_bank_vtbonline_last_vers.apk,DFCA79723F76139789279379A3DCEEDB483E85F8500A53E74B2616A2FC6E7A3B,ru.vtb24.mobilebanking.android,2090141403,20.0.0.7,24,35,,63,555,25,31,11,8,5,12,4,,2026-02-03T18:06:14Z,0,0,0,43,63,21
eu,bank_4,bank4,BILnet,data/eu/com.bil.android__vc1289__F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B.apk,F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B,com.bil.android,1289,10.3.2,26,35,,26,3,17,13,10,1,4,4,0,False,2026-01-24T09:04:41Z,0,0,0,65,26,7
ru,health,health,EMIAS.INFO,data/ru/com.programmisty.emiasapp__vc176908950__73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C.apk,73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.programmisty.emiasapp,176908950,7.44.3,23,35,,40,12,22,17,15,5,6,8,2,,2026-02-02T12:58:48Z,0,0,0,66,40,11
eu,health,health,Doctena,data/eu/goodsoft.pl.doctenalu__vc56__4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E.apk,4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E,goodsoft.pl.doctenalu,56,3.0.0,23,36,,27,9,14,16,3,6,1,7,0,,2025-08-14T18:47:52Z,0,0,0,66,27,2
ru,social_1,social1,VK,data/ru/com.vkontakte.android__vc47685__9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D.apk,9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,com.vkontakte.android,47685,8.163,28,35,,97,179,65,54,16,62,11,16,4,,2026-02-04T17:11:33Z,0,0,0,56,97,21
eu,social_1,social1,Facebook,data/eu/com.facebook.katana__vc468015008__AF94CFC4463207594EEBEDEBEE47C5B2455F38BA3611988785FFFBCD87B85302.apk,AF94CFC4463207594EEBEDEBEE47C5B2455F38BA3611988785FFFBCD87B85302,com.facebook.katana,468015008,545.0.0.43.63,28,36,,91,967,149,104,28,52,31,35,15,False,2026-01-23T05:09:20Z,0,0,0,61,91,18
ru,social_2,social2,OK,data/ru/ru.ok.android__vc26012700__79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691.apk,79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru.ok.android,26012700,26.1.27,24,35,,91,245,75,63,25,18,19,22,2,,2026-02-04T17:11:47Z,0,0,0,51,91,22
eu,social_2,social2,X,data/eu/com.twitter.android__vc311610000__CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB.apk,CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,com.twitter.android,311610000,11.61.0-release.0,28,35,,68,390,36,23,16,39,8,9,0,,2026-02-04T17:10:19Z,0,0,0,50,,
ru,msg_1,msg1,MAX,data/ru/MAX_last_v.apk,0EE9AEE643DEE087F7221212C0BF87B23DD451CDA7589AB3D04339E6E7668745,ru.oneme.app,1,26.2.0,26,35,,51,12,15,13,7,2,1,3,0,,2026-02-01T02:54:23Z,0,0,0,67,51,13
eu,msg_1,msg1,WhatsApp,data/eu/com.whatsapp__vc260379000__3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1.apk,3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1,com.whatsapp,260379000,2.26.3.79,21,35,,83,704,51,54,14,33,11,18,6,False,2026-01-28T04:01:34Z,0,0,0,56,83,27
ru,msg_2,msg2,Yandex Telemost,data/ru/ru.yandex.telemost__vc201000__67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E.apk,67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru.yandex.telemost,201000,2.10.0,24,35,,29,67,20,18,14,12,2,5,3,,2025-11-26T22:50:54Z,0,0,0,63,29,11
eu,msg_2,msg2,Telegram,data/eu/org.telegram.messenger__vc63852__0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F.apk,0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F,org.telegram.messenger,63852,12.3.1,23,35,,71,26,29,26,6,15,15,4,1,,2026-02-04T06:57:34Z,0,0,0,62,71,20
ru,gov_portal,gov1,Gosuslugi,data/ru/ru.rostel__vc9150__E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B.apk,E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B,ru.rostel,9150,24.1.0.9150-gms,26,35,,35,28,24,14,9,7,4,3,1,,2026-01-03T02:46:16Z,0,0,0,63,35,10
eu,gov_portal,gov1,MyGuichet.lu,data/eu/lu.etat.fp.gun.android__vc1103__36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31.apk,36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,lu.etat.fp.gun.android,1103,2.1.0,23,35,,17,24,7,7,6,1,1,2,0,False,2025-12-20T15:44:43Z,0,0,0,66,17,5
ru,gov_tax,gov2,Nalogi FL,data/ru/ru.fns.lkfl__vc15026117__69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B.apk,69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B,ru.fns.lkfl,15026117,1.83.0,24,35,,29,5,20,16,12,2,2,5,2,,2026-02-04T17:12:00Z,0,0,0,52,29,8
eu,gov_tax,gov2,impots.gouv,data/eu/fr.gouv.finances.smartphone.android__vc199__20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C.apk,20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C,fr.gouv.finances.smartphone.android,199,6.9.3,24,35,,37,4,9,7,9,2,1,4,0,,2026-02-05T19:52:46Z,0,0,0,65,37,7
ru,gov_eid,gov3,Gosuslugi Biometria,data/ru/ru.rtlabs.mobile.ebs.gosuslugi.android__vc20250919__D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA.apk,D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.gosuslugi.android,20250919,9.2.1,29,35,,18,17,10,8,6,4,1,6,0,,2025-10-20T06:09:48Z,0,0,0,67,18,6
eu,gov_eid,gov3,itsme,data/eu/be.bmid.itsme__vc1766405119__003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99.apk,003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,be.bmid.itsme,1766405119,4.25.2,26,35,,18,140,11,6,4,9,1,3,0,,2026-01-29T05:02:01Z,0,0,0,63,18,5
